Season,Episode,Title,Rating,Votes
1,1,Help Wanted/Reef Blower/Tea at the Treedome,8.5,384
1,2,BubbleStand/Ripped Pants,8.4,275
1,3,Jellyfishing/Plankton!,8.2,202
1,4,Naughty Nautical Neighbors/Boating School,8.3,176
1,5,Pizza Delivery/Home Sweet Pineapple,8.4,233
1,6,Mermaidman and Barnacleboy/Pickles,8.2,213
1,7,Hall Monitor/Jellyfish Jam,8.3,170
1,8,Sandy's Rocket/Squeaky Boots,8.1,159
1,9,Nature Pants/Opposite Day,8.2,160
1,10,Culture Shock/F.U.N.,8.3,169
1,11,MuscleBob BuffPants/Squidward the Unfriendly Ghost,8.3,158
1,12,The Chaperone/Employee of the Month,8.1,144
1,13,Scaredy Pants/I Was a Teenage Gary,8.2,146
1,14,SB-129/Karate Choppers,8.3,163
1,15,Sleepy Time/Suds,8.4,132
1,16,Valentine's Day/The Paper,8.3,131
1,17,Arrgh!/Rock Bottom,8.5,183
1,18,Texas/Walking Small,8.3,134
1,19,Fools in April/Neptune's Spatula,8.3,135
1,20,Hooky/Mermaidman and Barnacleboy II,8.3,152
2,1,Your Shoe's Untied/Squid's Day Off,8.4,145
2,2,Something Smells/Bossy Boots,8.4,127
2,3,Big Pink Loser/Bubble Buddy,8.4,138
2,4,Dying for Pie/Imitation Krabs,8.4,154
2,5,Wormy/Patty Hype,8.5,119
2,6,Grandma's Kisses/Squidville,8.3,147
2,7,PreHibernation Week/Life of Crime,8.5,124
2,8,Christmas Who?,8.3,163
2,9,Survival of the Idiots/Dumped,8.3,129
2,10,No Free Rides/I'm Your Biggest Fanatic,8.2,111
2,11,Mermaidman and Barnacleboy III/Squirrel Jokes,8.3,135
2,12,Pressure/The Smoking Peanut,8.3,112
2,13,Shanghaied/Gary Takes a Bath,8.4,144
2,14,Welcome to the Chum Bucket/Frankendoodle,8.6,145
2,15,The Secret Box/Band Geeks,8.7,355
2,16,Graveyard Shift/Krusty Love,8.5,179
2,17,Procrastination/I'm with Stupid,8.3,125
2,18,Sailor Mouth/Artist Unknown,8.4,154
2,19,Jellyfish Hunter/The Fry Cook Games,8.4,118
2,20,"Sandy, SpongeBob, and the Worm/Squid on Strike",8.5,124
3,1,The Algae's Always Greener/SpongeGuard on Duty,8.4,107
3,2,Club SpongeBob/My Pretty Seahorse,8.4,132
3,3,Just One Bite/The Bully,8.5,148
3,4,Nasty Patty/Idiot Box,8.5,165
3,5,Mermaidman and Barnacleboy IV/Doing Time,8.3,116
3,6,Snowball Effect/One Krabs Trash,8.5,126
3,7,As Seen on TV/Can You Spare a Dime?,8.3,111
