PartipantID,Index,Vis,VisID,Error,TruePerc,ReportPerc
10,0,BarChart,0,-3.0443943,0.6212121,0.5
10,1,PieChart,1,-3.321928,0.2,0.1
10,2,BarChart,0,-3.736966,0.875,0.8
10,3,BarChart,0,-3.514573,0.1875,0.1
10,4,TreeMap,2,-1.91427,0.7653061,0.5
10,5,BarChart,0,-3.6887107,0.622449,0.7
10,6,PieChart,1,-4.407319,0.25287357,0.3
10,7,TreeMap,2,-4.074001,0.859375,0.8
10,8,PieChart,1,-4.7813597,0.13636364,0.1
10,9,BarChart,0,-2.5334325,0.77272725,0.6
10,10,BarChart,0,-3.7435691,0.5753425,0.65
10,11,BarChart,0,-4.9245915,0.81707317,0.85
10,12,PieChart,1,-2.7525623,0.5483871,0.4
10,13,TreeMap,2,-2.3630333,0.49438202,0.3
10,14,BarChart,0,-4.5443196,0.54285717,0.5
10,15,TreeMap,2,-4.2949615,0.8490566,0.9
10,16,TreeMap,2,-1.7997012,0.78723407,0.5
10,17,PieChart,1,-1.5250909,0.15254237,0.5
10,18,PieChart,1,-2.259644,0.6911765,0.9
10,19,PieChart,1,-2.9674973,0.2278481,0.1
