PartipantID,Index,Vis,VisID,Error,TruePerc,ReportPerc
21377,0,mediumPieChart,4,-Infinity,75.0,75.0
21377,1,largeBarChart,2,3.096047,1.4492754,10.0
21377,2,largeBarChart,2,0.88452536,53.846157,52.0
21377,3,tinyPieChart,3,2.9136474,77.46479,85.0
21377,4,tinyBarChart,0,1.5334324,92.10526,95.0
21377,5,tinyPieChart,3,-0.88452446,11.458334,12.0
21377,6,mediumPieChart,4,1.6374298,8.888889,12.0
21377,7,tinyPieChart,3,0.0,24.0,25.0
21377,8,tinyPieChart,3,1.9907224,8.9743595,5.0
21377,9,tinyPieChart,3,0.67043185,1.4084507,3.0
21377,10,largePieChart,5,1.5145724,17.142859,20.0
21377,11,mediumPieChart,4,2.6338716,86.206894,80.0
21377,12,mediumBarChart,1,3.684498,17.142859,30.0
21377,13,largeBarChart,2,3.6823301,62.162163,75.0
21377,14,mediumPieChart,4,3.8662481,89.58333,75.0
21377,15,largeBarChart,2,1.7369651,46.666668,50.0
21377,16,mediumPieChart,4,3.2453067,84.48276,75.0
21377,17,tinyPieChart,3,0.54933816,8.536586,10.0
21377,18,mediumPieChart,4,2.321928,50.0,45.0
21377,19,mediumBarChart,1,-Infinity,80.0,80.0
21377,20,mediumBarChart,1,-0.8318764,50.5618,50.0
21377,21,tinyBarChart,0,2.4121253,59.67742,65.0
21377,22,tinyBarChart,0,1.4288427,92.30769,95.0
21377,23,mediumBarChart,1,0.0,0.0,1.0
21377,24,tinyBarChart,0,3.6545033,7.4074073,20.0
21377,25,largePieChart,5,1.5849625,68.0,65.0
21377,26,largeBarChart,2,2.6698513,63.636364,70.0
21377,27,largePieChart,5,2.4068174,69.69697,75.0
21377,28,tinyPieChart,3,2.7580264,88.2353,95.0
21377,29,mediumPieChart,4,1.0,96.0,98.0
21377,30,tinyPieChart,3,2.5063527,30.681818,25.0
21377,31,tinyPieChart,3,4.321928,80.0,100.0
21377,32,tinyPieChart,3,4.116813,62.650604,80.0
21377,33,largeBarChart,2,2.3523018,14.893617,20.0
21377,34,tinyBarChart,0,2.7057142,59.523808,53.0
21377,35,largeBarChart,2,2.04182,5.882353,10.0
21377,36,largePieChart,5,0.0,0.0,1.0
21377,37,mediumPieChart,4,1.1520026,77.77778,80.0
21377,38,tinyPieChart,3,3.497015,38.709675,50.0
21377,39,tinyPieChart,3,2.6360369,83.78378,90.0
21377,40,largeBarChart,2,3.5308754,58.441555,70.0
21377,41,mediumPieChart,4,3.7075818,58.064514,45.0
21377,42,largePieChart,5,2.8984287,82.45614,75.0
21377,43,largeBarChart,2,0.8624966,18.181818,20.0
21377,44,mediumBarChart,1,2.5932298,31.034481,25.0
21377,45,mediumBarChart,1,2.321928,80.0,75.0
21377,46,tinyPieChart,3,4.245307,68.965515,50.0
21377,47,largeBarChart,2,-0.34103894,15.789473,15.0
21377,48,tinyBarChart,0,1.5090138,3.846154,1.0
21377,49,largePieChart,5,3.7830622,66.233765,80.0
21377,50,tinyBarChart,0,-0.616667,95.652176,95.0
21377,51,largePieChart,5,3.9740047,60.714287,45.0
21377,52,mediumBarChart,1,-0.48542464,60.714287,60.0
21377,53,tinyBarChart,0,2.885829,82.608696,90.0
21377,54,largeBarChart,2,1.1520026,42.22222,40.0
21377,55,mediumBarChart,1,1.4890404,77.19298,80.0
