PartipantID,Index,Vis,VisID,Error,TruePerc,ReportPerc
67405,0,largeBarChart,2,2.6698513,13.636364,20.0
67405,1,tinyPieChart,3,-2.1699305,77.77778,78.0
67405,2,tinyPieChart,3,-1.0834208,77.52809,78.0
67405,3,largePieChart,5,1.1303946,89.189186,87.0
67405,4,mediumPieChart,4,3.6285894,52.63158,65.0
67405,5,tinyPieChart,3,3.6189098,85.71429,98.0
67405,6,mediumBarChart,1,-3.048374,20.879122,21.0
67405,7,mediumPieChart,4,2.5849626,16.0,10.0
67405,8,tinyBarChart,0,3.2216237,65.67164,75.0
67405,9,largePieChart,5,1.6880556,77.77778,81.0
67405,10,tinyBarChart,0,3.4594316,80.0,91.0
67405,11,tinyPieChart,3,4.491853,52.499996,75.0
67405,12,largeBarChart,2,2.9012218,23.529411,31.0
67405,13,largePieChart,5,2.0652926,85.18519,81.0
67405,14,largePieChart,5,3.5015135,52.325584,41.0
67405,15,largeBarChart,2,1.3719687,4.4117646,7.0
67405,16,mediumBarChart,1,-2.3504982,9.803922,10.0
67405,17,largePieChart,5,5.8272543,67.77778,11.0
67405,18,largeBarChart,2,2.2938442,75.90361,71.0
67405,19,largeBarChart,2,2.0595424,65.16854,61.0
67405,20,largePieChart,5,2.883043,57.377045,50.0
67405,21,tinyPieChart,3,2.3584538,44.871796,50.0
67405,22,tinyBarChart,0,-0.36720708,20.224718,21.0
67405,23,mediumPieChart,4,0.2515425,51.19048,50.0
67405,24,tinyBarChart,0,2.6698513,43.636364,50.0
67405,25,tinyPieChart,3,0.561879,9.523809,11.0
67405,26,mediumBarChart,1,1.2655898,23.404255,21.0
67405,27,largeBarChart,2,1.134301,12.195122,10.0
67405,28,tinyBarChart,0,3.957551,15.463917,31.0
67405,29,mediumPieChart,4,2.6363094,84.78261,91.0
67405,30,largePieChart,5,2.885622,24.390244,17.0
67405,31,mediumBarChart,1,2.6368015,51.219513,45.0
67405,32,largePieChart,5,-Infinity,95.0,95.0
67405,33,mediumPieChart,4,0.4966763,9.589041,11.0
67405,34,tinyPieChart,3,-0.59723777,20.338982,21.0
67405,35,tinyBarChart,0,0.6057182,68.478264,70.0
67405,36,mediumPieChart,4,2.1408622,43.589745,48.0
67405,37,largePieChart,5,3.5783412,45.054947,57.0
67405,38,mediumPieChart,4,1.5849625,70.0,67.0
67405,39,mediumBarChart,1,0.84387964,28.20513,30.0
67405,40,mediumBarChart,1,-Infinity,0.0,0.0
67405,41,mediumBarChart,1,3.396353,76.47059,87.0
67405,42,largeBarChart,2,-Infinity,0.0,0.0
67405,43,mediumBarChart,1,-0.32716465,5.7971015,5.0
67405,44,largePieChart,5,1.4405712,54.285717,57.0
67405,45,mediumBarChart,1,1.0,52.0,50.0
67405,46,mediumBarChart,1,1.9883186,70.96774,67.0
67405,47,tinyPieChart,3,1.0,96.0,98.0
67405,48,mediumBarChart,1,1.222394,33.333336,31.0
67405,49,mediumBarChart,1,2.5024998,86.666664,81.0
67405,50,largePieChart,5,0.6731896,5.4054055,7.0
67405,51,largePieChart,5,0.16600612,54.87805,56.0
67405,52,tinyPieChart,3,1.4319515,28.301886,31.0
67405,53,largeBarChart,2,1.8231231,63.461536,67.0
67405,54,tinyPieChart,3,-Infinity,0.0,0.0
67405,55,mediumBarChart,1,1.3667822,8.421053,11.0
67405,56,largeBarChart,2,1.1175696,47.16981,45.0
67405,57,largeBarChart,2,1.5703171,53.0303,56.0
67405,58,tinyPieChart,3,3.1904626,66.129036,57.0
67405,59,tinyBarChart,0,-Infinity,100.0,100.0
67405,60,largePieChart,5,1.9153029,8.77193,5.0
67405,61,mediumPieChart,4,2.9690468,52.83019,45.0
67405,62,mediumPieChart,4,2.5067909,25.316456,31.0
67405,63,tinyPieChart,3,0.76437193,13.69863,12.0
67405,64,tinyPieChart,3,3.0968616,75.55556,67.0
67405,65,mediumPieChart,4,3.6189098,65.71429,78.0
67405,66,tinyBarChart,0,-1.1374959,45.454548,45.0
67405,67,largeBarChart,2,-Infinity,100.0,100.0
67405,68,mediumBarChart,1,2.9349046,82.35294,90.0
67405,69,mediumBarChart,1,-0.18056932,85.882355,85.0
67405,70,mediumPieChart,4,-0.85798085,3.4482758,4.0
67405,71,mediumPieChart,4,1.0418205,7.058824,5.0
67405,72,tinyBarChart,0,-1.1538118,40.449436,40.0
67405,73,largeBarChart,2,-1.2016358,30.434782,30.0
67405,74,mediumBarChart,1,2.2357717,20.289854,25.0
67405,75,largeBarChart,2,2.566347,3.0769231,9.0
67405,76,tinyPieChart,3,-0.077996396,78.94737,78.0
67405,77,tinyBarChart,0,1.6006461,81.96721,85.0
67405,78,largeBarChart,2,2.1827652,80.45977,85.0
67405,79,mediumPieChart,4,0.9195806,22.891565,21.0
67405,80,largeBarChart,2,2.4879382,24.390244,30.0
67405,81,tinyBarChart,0,0.41503614,58.333332,57.0
67405,82,mediumBarChart,1,-3.807322,41.07143,41.0
67405,83,mediumPieChart,4,1.5443212,22.916668,20.0
67405,84,tinyPieChart,3,3.813404,52.941177,67.0
67405,85,tinyPieChart,3,3.9155104,71.91011,87.0
67405,86,largePieChart,5,3.6438563,62.5,75.0
67405,87,tinyBarChart,0,3.4299877,22.222223,33.0
67405,88,largeBarChart,2,3.2488,11.494253,21.0
67405,89,mediumPieChart,4,3.321928,25.0,15.0
67405,90,tinyBarChart,0,1.0588955,47.916664,50.0
67405,91,mediumBarChart,1,1.8708711,24.657534,21.0
67405,92,tinyPieChart,3,4.0149508,70.83333,87.0
67405,93,tinyPieChart,3,4.643856,50.0,75.0
67405,94,tinyPieChart,3,1.2801069,38.57143,41.0
67405,95,largeBarChart,2,2.115478,82.666664,87.0
67405,96,largePieChart,5,-1.1575414,3.4482758,3.0
67405,97,largeBarChart,2,2.8674765,38.297874,31.0
