PartipantID,Index,Vis,VisID,Error,TruePerc,ReportPerc
30524,0,largeBarChart,2,-Infinity,0.0,0.0
30524,1,largePieChart,5,0.5994625,51.515152,50.0
30524,2,mediumPieChart,4,3.6413453,56.521736,69.0
30524,3,mediumPieChart,4,-2.3037796,3.7974682,4.0
30524,4,largeBarChart,2,2.1520026,55.555557,60.0
30524,5,mediumPieChart,4,2.5184674,29.72973,24.0
30524,6,mediumPieChart,4,2.017072,69.047615,65.0
30524,7,mediumBarChart,1,3.041821,68.2353,60.0
30524,8,mediumPieChart,4,1.527246,44.11765,47.0
30524,9,mediumBarChart,1,1.447459,2.2727273,5.0
30524,10,mediumBarChart,1,1.301657,89.53488,92.0
30524,11,tinyBarChart,0,2.1860454,40.449436,45.0
30524,12,mediumPieChart,4,3.1292832,41.25,50.0
30524,13,largeBarChart,2,-2.2779663,59.79381,60.0
30524,14,tinyPieChart,3,2.9068906,27.5,35.0
30524,15,mediumBarChart,1,2.6020355,66.07143,60.0
30524,16,largeBarChart,2,1.9831271,86.04651,90.0
30524,17,largePieChart,5,2.321928,35.0,40.0
30524,18,tinyPieChart,3,1.8497573,4.3956046,8.0
30524,19,tinyPieChart,3,0.9328858,9.090909,11.0
30524,20,mediumBarChart,1,2.340425,41.935482,47.0
30524,21,mediumPieChart,4,2.0561428,69.84127,74.0
30524,22,mediumBarChart,1,3.1943777,53.846157,63.0
30524,23,mediumPieChart,4,3.1404812,18.181818,27.0
30524,24,tinyBarChart,0,-0.7725909,63.414635,64.0
30524,25,mediumPieChart,4,-0.44057062,44.736843,44.0
30524,26,tinyPieChart,3,0.40632126,68.6747,70.0
30524,27,tinyBarChart,0,1.115478,54.166668,52.0
30524,28,largeBarChart,2,-Infinity,100.0,100.0
30524,29,tinyPieChart,3,0.7369634,68.333336,70.0
30524,30,largeBarChart,2,0.07400031,41.05263,40.0
30524,31,largeBarChart,2,2.2823985,64.86486,60.0
30524,32,mediumPieChart,4,-Infinity,40.0,40.0
30524,33,mediumBarChart,1,2.1246023,54.63917,59.0
30524,34,largePieChart,5,0.5293696,81.4433,80.0
30524,35,tinyPieChart,3,2.166651,74.4898,70.0
30524,36,largePieChart,5,0.70301896,11.627908,10.0
30524,37,mediumBarChart,1,2.2895067,63.88889,59.0
30524,38,largeBarChart,2,0.8667326,16.176472,18.0
30524,39,tinyPieChart,3,4.168305,97.9798,80.0
30524,40,tinyPieChart,3,1.0,50.0,48.0
30524,41,tinyPieChart,3,4.4945674,52.54237,30.0
30524,42,tinyPieChart,3,3.6210318,44.3038,32.0
30524,43,mediumPieChart,4,2.321928,10.0,15.0
30524,44,tinyBarChart,0,-1.1375018,29.545454,30.0
30524,45,tinyPieChart,3,-0.5525373,44.31818,45.0
30524,46,tinyBarChart,0,3.1851115,38.095238,29.0
30524,47,largeBarChart,2,2.321928,50.0,55.0
30524,48,largeBarChart,2,1.4739316,47.22222,50.0
30524,49,mediumPieChart,4,2.5849626,84.0,90.0
30524,50,largePieChart,5,1.4474586,27.272728,30.0
30524,51,tinyPieChart,3,0.08926943,48.93617,50.0
30524,52,largePieChart,5,1.9746149,20.930233,17.0
30524,53,largeBarChart,2,-0.91071504,75.53192,75.0
30524,54,largeBarChart,2,2.776494,48.148148,55.0
30524,55,largePieChart,5,3.2488644,39.506172,30.0
30524,56,largePieChart,5,3.1868784,64.893616,74.0
30524,57,largeBarChart,2,-0.18057244,19.117647,20.0
30524,58,mediumBarChart,1,1.8992374,41.26984,45.0
30524,59,largePieChart,5,2.7858753,93.10345,100.0
30524,60,mediumBarChart,1,0.15200254,8.888889,10.0
30524,61,mediumPieChart,4,2.5090132,32.692307,27.0
30524,62,mediumPieChart,4,-Infinity,20.0,20.0
30524,63,mediumPieChart,4,4.8461366,58.762886,30.0
30524,64,tinyBarChart,0,0.15200254,61.11111,60.0
30524,65,largePieChart,5,3.8194275,94.117645,80.0
30524,66,largeBarChart,2,0.6214903,61.538464,60.0
30524,67,mediumBarChart,1,1.9888018,1.0309278,5.0
30524,68,mediumPieChart,4,2.2175932,95.34883,100.0
30524,69,mediumPieChart,4,0.08488882,6.060606,5.0
30524,70,largePieChart,5,2.0695415,35.802467,40.0
30524,71,tinyPieChart,3,2.5670407,25.925926,20.0
30524,72,largePieChart,5,5.814325,76.27119,20.0
30524,73,largePieChart,5,5.4374056,73.333336,30.0
