PartipantID,Index,Vis,VisID,Error,TruePerc,ReportPerc
5523,0,largeBarChart,2,3.1511638,65.11628,74
5523,1,tinyBarChart,0,-0.45065904,29.268291,30
5523,2,tinyPieChart,3,1.0655884,22.093023,20
5523,3,tinyPieChart,3,1.8034627,58.49057,55
5523,4,tinyBarChart,0,-1.772591,18.292683,18
5523,5,tinyBarChart,0,0.7369667,16.666668,15
5523,6,tinyBarChart,0,2.0324225,70.90909,75
5523,7,mediumPieChart,4,4.321928,0,20
5523,8,tinyBarChart,0,1.5576899,55.05618,58
5523,9,tinyPieChart,3,3.3718534,74.64789,85
5523,10,mediumBarChart,1,2.2735646,35.164837,40
5523,11,tinyBarChart,0,0.8073549,6.25,8
5523,12,tinyBarChart,0,0.7369634,96.666664,95
5523,13,tinyPieChart,3,-0.19052075,95.87629,95
5523,14,tinyBarChart,0,0.90159756,68.13187,70
5523,15,largeBarChart,2,2.321928,65,70
5523,16,largeBarChart,2,0.4611337,23.376623,22
5523,17,largePieChart,5,2.9919024,91.04478,99
5523,18,largeBarChart,2,2.0740004,65.789474,70
5523,19,mediumPieChart,4,3.0966353,61.445786,70
5523,20,tinyPieChart,3,2.9068906,72.5,65
5523,21,tinyBarChart,0,0.073995076,78.94737,80
5523,22,mediumPieChart,4,1.5347764,14.102565,17
5523,23,tinyPieChart,3,2.7634377,43.209877,50
5523,24,largeBarChart,2,2.2223916,69.333336,74
5523,25,mediumPieChart,4,3.1819725,67.92453,77
5523,26,tinyBarChart,0,-0.13750792,50.90909,50
5523,27,tinyPieChart,3,2.7813597,96.875,90
5523,28,tinyBarChart,0,2.8912928,77.41935,70
5523,29,tinyBarChart,0,0.06413028,7.9545455,9
5523,30,largePieChart,5,-0.6347156,18.644068,18
5523,31,mediumBarChart,1,0,0,0
5523,32,tinyBarChart,0,1.3380475,22.47191,25
5523,33,largePieChart,5,2.6470227,63.736267,70
5523,34,largeBarChart,2,1.2879806,32.55814,35
5523,35,mediumBarChart,1,1.5272479,94.117645,97
5523,36,tinyBarChart,0,0,0,0
5523,37,mediumPieChart,4,3.3219275,60.000004,70
5523,38,mediumPieChart,4,1.5849625,52,55
5523,39,largeBarChart,2,2.409391,95.3125,90
5523,40,mediumPieChart,4,0.7369667,43.333332,45
5523,41,mediumPieChart,4,2.6334612,28.20513,22
5523,42,largeBarChart,2,-1.584968,42.666668,43
5523,43,largePieChart,5,1.9699416,63.917522,60
5523,44,tinyBarChart,0,2.7369666,66.66667,60
5523,45,largePieChart,5,3.8804183,77.27273,92
5523,46,mediumPieChart,4,0,0,0
5523,47,tinyPieChart,3,1.8144448,34.482758,38
5523,48,mediumBarChart,1,-0.8450287,18.5567,18
5523,49,tinyBarChart,0,1.0438544,4.9382715,7
5523,50,mediumPieChart,4,1.7530861,96.62921,100
5523,51,mediumPieChart,4,0.08880894,7.936508,9
5523,52,mediumPieChart,4,-3.2928026,55.10204,55
5523,53,tinyBarChart,0,2.3708375,44.827587,50
5523,54,tinyPieChart,3,1.4579899,47.252747,50
5523,55,mediumBarChart,1,2.4474585,54.545456,60
5523,56,mediumPieChart,4,1.9499606,73.86364,70
5523,57,mediumBarChart,1,2.222392,13.333334,18
5523,58,mediumBarChart,1,1.7776073,8.571429,12
5523,59,tinyPieChart,3,-0.02046316,30.985916,30
5523,60,mediumBarChart,1,0,0,0
5523,61,mediumBarChart,1,-0.4150375,56.25,57
5523,62,largeBarChart,2,-0.28293276,19.178082,20
5523,63,mediumBarChart,1,0.8716767,36.17021,38
5523,64,mediumPieChart,4,1.5849625,24,27
5523,65,largeBarChart,2,1.7293528,26.31579,23
5523,66,largePieChart,5,0.5777681,98.50746,100
5523,67,tinyBarChart,0,1.3996075,89.3617,92
5523,68,mediumBarChart,1,2.146842,78.57143,83
5523,69,tinyPieChart,3,2.7860606,35.897438,29
5523,70,mediumPieChart,4,2,48,44
5523,71,mediumBarChart,1,2.2976804,2.0833335,7
5523,72,tinyPieChart,3,0.65566695,46.575344,45
5523,73,mediumPieChart,4,1.8744688,23.333334,27
5523,74,largeBarChart,2,2.6715498,87.62887,94
5523,75,mediumPieChart,4,2.6114337,68.88889,75
5523,76,mediumBarChart,1,1.2756335,68.42105,66
5523,77,tinyBarChart,0,1.9233797,86.206894,90
5523,78,tinyBarChart,0,0.86673564,81.17647,83
5523,79,largeBarChart,2,-0.81192315,54.430378,55
5523,80,tinyBarChart,0,0,25,25
5523,81,tinyBarChart,0,1.1520026,72.22222,70
5523,82,mediumPieChart,4,2.6614144,83.67347,90
5523,83,tinyPieChart,3,4.619314,55.421684,80
5523,84,tinyBarChart,0,0.344647,41.26984,40
5523,85,tinyPieChart,3,2.0671146,26.190477,22
5523,86,mediumPieChart,4,1.2655898,23.404255,21
5523,87,tinyPieChart,3,2.125532,88.63636,93
5523,88,mediumPieChart,4,2.286305,95.12195,100
5523,89,largePieChart,5,3.084889,51.515152,60
5523,90,tinyBarChart,0,-0.8073556,21.428572,22
5523,91,mediumPieChart,4,-3.827807,45.070423,45
5523,92,mediumBarChart,1,2.111892,59.67742,64
5523,93,largeBarChart,2,1.5334324,97.89474,95
5523,94,mediumPieChart,4,0.25154018,26.190477,25
5523,95,mediumBarChart,1,0.73696584,11.666667,10
5523,96,largePieChart,5,0.41503614,16.666668,18
5523,97,tinyBarChart,0,2.222394,66.66667,62
5523,98,mediumPieChart,4,0,0,0
5523,99,mediumBarChart,1,0.8930852,42.857143,41
5523,100,mediumPieChart,4,0.030365394,82.97873,84
5523,101,tinyPieChart,3,2.1460788,65.57377,70
5523,102,tinyPieChart,3,2.752562,78.26087,85
5523,103,tinyPieChart,3,2.7269814,91.37931,98
5523,104,largePieChart,5,-0.6605153,68.36735,69
5523,105,largePieChart,5,-4.5847864,98.95833,99
5523,106,tinyBarChart,0,0.6601491,86.419754,88
5523,107,largePieChart,5,-2.5360606,55.172413,55
5523,108,mediumBarChart,1,2.5347779,71.794876,66
5523,109,mediumPieChart,4,0.9068906,46.875,45
5523,110,largeBarChart,2,1.1283216,55.813957,58
5523,111,tinyPieChart,3,1.9434161,46.153847,50
5523,112,mediumBarChart,1,2.2350721,66.29214,71
5523,113,largePieChart,5,2.8231223,51.923077,59
5523,114,tinyPieChart,3,0.43811974,19.354837,18
5523,115,tinyPieChart,3,-0.064852215,43.956043,43
5523,116,mediumPieChart,4,1,20,22
5523,117,tinyPieChart,3,2.295456,9.090909,14
5523,118,largeBarChart,2,1.4150372,21.666666,19
5523,119,largePieChart,5,3.0050707,61.971832,70
5523,120,largePieChart,5,-0.22239472,17.142859,18
5523,121,mediumPieChart,4,0.83399034,9.782609,8
5523,122,mediumPieChart,4,1.9808912,21.052631,25
5523,123,mediumBarChart,1,-0.2223915,42.857143,42
5523,124,largeBarChart,2,-0.13750187,30.909092,30
5523,125,largeBarChart,2,0.29545507,39.772728,41
5523,126,tinyBarChart,0,0.5849625,62.5,64
5523,127,tinyPieChart,3,0.8643456,12.820514,11
5523,128,largePieChart,5,-0.60265964,53.65854,53
5523,129,largePieChart,5,0.87126756,73.17073,75
5523,130,tinyBarChart,0,4.169925,25,43
5523,131,mediumBarChart,1,1.169925,18.75,21
5523,132,largePieChart,5,1.0518409,82.92683,85
5523,133,mediumPieChart,4,2.435256,34.408604,29
5523,134,tinyPieChart,3,3.13993,85.18519,94
5523,135,tinyPieChart,3,2.7413049,21.686749,15
5523,136,largePieChart,5,3.311827,79.06977,89
5523,137,mediumBarChart,1,0.7462429,9.677419,8
5523,138,tinyPieChart,3,-0.24575512,10.843374,10
5523,139,tinyBarChart,0,-0.37197462,60.227276,61
5523,140,tinyPieChart,3,0,0,1
5523,141,tinyBarChart,0,0.22506618,31.16883,30
5523,142,largePieChart,5,2.3667822,38.157894,33
5523,143,mediumBarChart,1,2.1435905,25.581396,30
