PartipantID,Index,Vis,VisID,Error,TruePerc,ReportPerc
59599,0,largePieChart,5,-3.7436914,0.10465116,0.03
59599,1,tinyBarChart,0,-0.5129886,0.7307692,0.03
59599,2,largePieChart,5,-2.2156935,0.24528302,0.03
59599,3,largePieChart,5,-1.0306766,0.5194805,0.03
59599,4,tinyLineGraph,6,-3.081331,0.14814815,0.03
59599,5,mediumLineGraph,7,-0.3400754,0.82,0.03
59599,6,largeLineGraph,8,-0.1766388,0.9047619,0.02
59599,7,mediumPieChart,4,-1.1762507,0.4625,0.02
59599,8,largePieChart,5,-0.23282363,0.87096775,0.02
59599,9,tinyBarChart,0,-4.485944,0.07462686,0.03
59599,10,mediumLineGraph,7,-1.4056965,0.3974359,0.02
59599,11,tinyBarChart,0,-3.5706072,0.104166664,0.02
59599,12,largePieChart,5,-0.3190834,0.83157897,0.03
59599,13,largeLineGraph,8,-1.2105453,0.44210526,0.01
59599,14,mediumLineGraph,7,-0.4846026,0.7346939,0.02
59599,15,mediumPieChart,4,-1.964006,0.27631578,0.02
59599,16,tinyPieChart,3,-0.2930869,0.84615386,0.03
59599,17,tinyLineGraph,6,-1.4103271,0.3962264,0.02
59599,18,largeBarChart,2,-0.6928078,0.6486486,0.03
59599,19,largeBarChart,2,-0.9257912,0.5463917,0.02
